Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote
051309,JEROLD PHELPS COMMUNITY HOSPITAL,733 CEDAR ST,GARBERVILLE,CA,95542,HUMBOLDT,(707) 923-3921,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,1,
051310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,(707) 456-3031,Critical Access Hospitals,Voluntary non-profit - Private,No,,5,,7,3,0,3,0,,8,3,0,3,0,,11,7,1,5,1,,8,8,,12,7,
051311,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,CA,95948,BUTTE,(530) 846-5671,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
051312,MOUNTAINS COMMUNITY HOSPITAL,29101 HOSPITAL ROAD,LAKE ARROWHEAD,CA,92352,SAN BERNARDINO,(909) 336-3651,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
051314,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVE,LAKE ISABELLA,CA,93240,KERN,(760) 379-2681,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,5,
051315,TRINITY HOSPITAL,60 EASTER AVENUE,WEAVERVILLE,CA,96093,TRINITY,(530) 623-5541,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,4,
051316,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,YREKA,CA,96097,SISKIYOU,(530) 842-4121,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,1,,7,4,0,3,1,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,6,
051317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,(707) 994-6486,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,4,0,4,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,9,
051318,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,CA,95540,HUMBOLDT,(707) 445-8121,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,6,
051319,MERCY MEDICAL CENTER OF MT SHASTA,914 PINE STREET,MOUNT SHASTA,CA,96067,SISKIYOU,(530) 926-6111,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,,7,4,0,4,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,1,4,0,,8,8,,12,10,
051320,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,CA,96130,LASSEN,(530) 252-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,8,,12,8,
051321,HEALDSBURG HOSPITAL,1375 UNIVERSITY AVENUE,HEALDSBURG,CA,95448,SONOMA,(707) 431-6500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,3,
051323,COLORADO RIVER MEDICAL CENTER,1401 BAILEY AVE,NEEDLES,CA,92363,SAN BERNARDINO,(760) 326-7162,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
051324,NORTHERN INYO HOSPITAL,150 PIONEER LANE,BISHOP,CA,93514,INYO,(760) 873-5811,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,1,1,1,,8,Not Available,5.0,12,9,
051325,ADVENTIST HEALTH MENDOCINO COAST,700 RIVER DRIVE,FORT BRAGG,CA,95437,MENDOCINO,(707) 961-1234,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,1,,7,4,0,3,1,,8,1,0,1,0,,11,8,0,8,0,,8,8,,12,8,
051326,PLUMAS DISTRICT HOSPITAL,1065 BUCKS LAKE ROAD,QUINCY,CA,95971,PLUMAS,(530) 283-2121,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,7,
051327,SENECA DISTRICT HOSPITAL,130 BRENTWOOD DRIVE,CHESTER,CA,96020,PLUMAS,(530) 258-2151,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
051328,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,96161,NEVADA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,8,0,8,0,,8,8,,12,10,
051329,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,CA,95453,LAKE,(707) 262-5000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,5,,7,3,0,3,0,,8,1,0,1,0,,11,6,1,5,0,,8,8,,12,10,
051330,MODOC MEDICAL CENTER,1111 N NAGLE STREET,ALTURAS,CA,96101,MODOC,(530) 233-5131,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,2,
051331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,SOLVANG,CA,93463,SANTA BARBARA,(805) 688-6431,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,7,
051332,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH RD,SAN ANDREAS,CA,95249,CALAVERAS,(209) 754-3521,Critical Access Hospitals,Voluntary non-profit - Other,No,,3,,7,4,0,4,0,,8,1,0,1,0,,11,9,0,9,0,,8,8,,12,8,
051333,RIDGECREST REGIONAL HOSPITAL,1081 NORTH CHINA LAKE BLVD,RIDGECREST,CA,93555,KERN,(760) 446-3551,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,5,
051334,COMMUNITY MEMORIAL HOSPITAL - OJAI,1306 MARICOPA HWY,OJAI,CA,93023,VENTURA,(805) 646-1401,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
051335,BEAR VALLEY COMMUNITY HOSPITAL,41870 GARSTIN DR,BIG BEAR LAKE,CA,92315,SAN BERNARDINO,(909) 866-6501,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,3,
051336,SOUTHERN MONTEREY COUNTY MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,CA,93930,MONTEREY,(831) 385-6000,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,7,
051337,HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DRIVE,HOLLISTER,CA,95032,SANTA CLARA,(831) 637-5711,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,2,
051338,COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVENUE,COALINGA,CA,93210,FRESNO,(559) 821-6202,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
051339,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,(760) 922-4115,Critical Access Hospitals,Government - Hospital District or Authority,No,,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,5.0,Not Available,Not Available,5.0
061300,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER ST,EADS,CO,81036,KIOWA,(719) 438-5401,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,
061301,RIO GRANDE HOSPITAL,310 COUNTY RD 14,DEL NORTE,CO,81132,RIO GRANDE,(719) 657-2510,Critical Access Hospitals,Proprietary,Yes,,5,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,5,
061302,FAMILY HEALTH WEST HOSPITAL,300 W OTTLEY AVE,FRUITA,CO,81521,MESA,(970) 858-9871,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5.0,12,5,
061303,EAST MORGAN COUNTY HOSPITAL,2400 W EDISON ST,BRUSH,CO,80723,MORGAN,(970) 842-6222,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,1,2,0,,8,Not Available,5.0,12,8,
061304,HAXTUN HOSPITAL DISTRICT,235 W FLETCHER ST,HAXTUN,CO,80731,PHILLIPS,(970) 774-6123,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5.0,12,2,
061305,MELISSA MEMORIAL HOSPITAL,1001 E JOHNSON ST,HOLYOKE,CO,80734,PHILLIPS,(970) 854-2241,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,5,
061306,LINCOLN HEALTH HOSPITAL,111 6TH ST,HUGO,CO,80821,LINCOLN,(719) 743-2421,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,Not Available,5.0
061307,RANGELY DISTRICT HOSPITAL,225 EAGLE CREST ST,RANGELY,CO,81648,RIO BLANCO,(970) 675-5011,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,Not Available,5.0
061308,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,19021 US HIGHWAY 285,LA JARA,CO,81140,CONEJOS,(719) 274-5121,Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,6,
061309,WRAY COMMUNITY DISTRICT HOSPITAL,1017 W 7TH ST,WRAY,CO,80758,YUMA,(970) 332-4811,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,8,
061310,SEDGWICK COUNTY MEMORIAL HOSPITAL,900 CEDAR ST,JULESBURG,CO,80737,SEDGWICK,(970) 474-3323,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,4,
061311,SOUTHEAST COLORADO HOSPITAL DISTRICT,373 E TENTH AVE,SPRINGFIELD,CO,81073,BACA,(719) 523-4501,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,8,
061312,ESTES PARK MEDICAL CENTER,555 PROSPECT AVE,ESTES PARK,CO,80517,LARIMER,(970) 577-4470,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,4,
061313,KIT CARSON COUNTY MEMORIAL HOSPITAL,286 16TH ST,BURLINGTON,CO,80807,KIT CARSON,(719) 346-4824,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,5,
061314,"MEMORIAL HOSPITAL, THE",750 HOSPITAL LOOP,CRAIG,CO,81625,MOFFAT,(970) 824-9411,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,6,0,6,0,,8,Not Available,5.0,12,6,
061315,YUMA DISTRICT HOSPITAL,1000 W 8TH AVE,YUMA,CO,80759,YUMA,(970) 848-5405,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
061316,SPANISH PEAKS REGIONAL HEALTH CENTER,23500 US HIGHWAY 160,WALSENBURG,CO,81089,HUERFANO,(719) 738-5100,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,2,0,2,0,,8,Not Available,5.0,12,5,
061317,GRAND RIVER HOSPITAL DISTRICT,501 AIRPORT RD,RIFLE,CO,81650,GARFIELD,(970) 625-1510,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,8,,12,7,
061318,MIDDLE PARK MEDICAL CENTER,214 S 4TH ST,KREMMLING,CO,80459,GRAND,(970) 724-3442,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5.0,12,4,
061319,ST VINCENT GENERAL HOSPITAL DISTRICT,816 W 4TH ST,LEADVILLE,CO,80461,LAKE,(719) 486-0230,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,1,
061320,GUNNISON VALLEY HOSPITAL,711 N TAYLOR ST,GUNNISON,CO,81230,GUNNISON,(970) 641-1456,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,4,
061321,MT SAN RAFAEL HOSPITAL,410 BENEDICTA AVE,TRINIDAD,CO,81082,LAS ANIMAS,(719) 846-9213,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,6,
061322,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,1000 RUSH DR,SALIDA,CO,81201,CHAFFEE,(719) 530-2200,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,4,
061323,PROWERS MEDICAL CENTER,401 KENDALL DR,LAMAR,CO,81052,PROWERS,(719) 336-4343,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,1,
061324,ASPEN VALLEY HOSPITAL,401 CASTLE CREEK RD,ASPEN,CO,81611,PITKIN,(970) 544-1261,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,6,
061325,EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,RIO BLANCO,(970) 878-5047,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,3,0,3,0,,8,8,,12,5,
061326,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,16420 W US HIGHWAY 24,WOODLAND PARK,CO,80863,TELLER,(719) 374-6060,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,6,
061327,SOUTHWEST MEMORIAL HOSPITAL,1311 N MILDRED RD,CORTEZ,CO,81321,MONTEZUMA,(970) 565-6666,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,1,4,0,,8,8,,12,8,
061328,PAGOSA SPRINGS MEDICAL CENTER,95 S PAGOSA BLVD,PAGOSA SPRINGS,CO,81147,ARCHULETA,(970) 731-3700,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
061336,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,1100 CARSON AVENUE,LAJUNA,CO,81050,OTERO,(719) 363-1428,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,5,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,
061343,KEEFE MEMORIAL HOSPITAL,602 N 6TH ST W,CHEYENNE WELLS,CO,80810,CHEYENNE,(719) 767-5661,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,
061344,ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,CO,81212,FREMONT,(719) 285-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,3,0,3,0,,8,1,0,1,0,,11,6,1,5,0,,8,8,,12,10,
101300,ADVENTHEALTH WAUCHULA,735 S 5TH AVE,WAUCHULA,FL,33873,HARDEE,(863) 773-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,5,
101303,LAKE BUTLER HOSPITAL,850 E MAIN ST,LAKE BUTLER,FL,32054,UNION,(386) 496-2323,Critical Access Hospitals,Proprietary,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,4,
101304,CALHOUN-LIBERTY HOSPITAL,16257 STATE RD 71S,BLOUNTSTOWN,FL,32424,CALHOUN,(850) 674-5411,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,6,
101305,GEORGE E WEEMS MEMORIAL HOSPITAL,135 AVE G,APALACHICOLA,FL,32320,FRANKLIN,(850) 653-8853,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,Not Available,5.0
101307,DOCTORS MEMORIAL HOSPITAL,2600 HOSPITAL DR,BONIFAY,FL,32425,HOLMES,(850) 547-1120,Critical Access Hospitals,Government - Hospital District or Authority,No,,Not Available,16,7,1,0,0,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,Not Available,5.0,12,5,
